ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"135.125.30.135","elite","AS16276","FR","OVH SAS","6","OVH","42625","socks5","3490","79","2023-10-13T14:57:42.575Z","100","4213","4213"
"195.154.243.38","elite","AS12876","FR","Online S.A.S.","383","ONLINE","57976","socks4","4907","2","2023-10-13T14:57:42.491Z","78","3337","4286"
"129.205.182.194","elite","AS37353","ZA","Seacom Western Cape (Pty) Ltd","187","Ipc1","1080","socks4","4010","1","2023-10-13T14:57:42.490Z","33","1438","4293"
"112.199.95.122","elite","AS9658","PH","Eastern Telecommunications Philippines, Inc.","244","Eastern Telecommunications Philippines, Inc","8080","socks4","4608","1","2023-10-13T14:57:42.494Z","100","4366","4378"
"190.111.246.128","elite","AS11014","AR","CPS","181","CPS","80","socks4","108","1","2023-10-13T14:57:42.574Z","98","4300","4377"
"38.127.179.236","elite","AS174","US","Cogent Communications","79","Torlandia Trading SRL","2093","socks5","5205","1","2023-10-13T14:57:32.893Z","100","4274","4278"
"51.210.5.69","elite","AS16276","FR","OVH SAS","8","OVH","7497","socks5","5007","1","2023-10-13T14:57:32.986Z","100","4286","4286"
"72.194.234.87","elite","AS22773","US","Cox Communications Inc.","187","Cox Communications Inc.","5678","socks4","5010","1","2023-10-13T14:57:32.890Z","98","4164","4264"
"202.159.30.129","elite","AS9340","ID","PT IndoInternet","196","N/A","443","socks4","4999","1","2023-10-13T14:57:32.888Z","100","4303","4318"
"115.69.214.51","elite","AS45276","BD","NReach Net (Pvt.) Ltd","184","NReach Net (Pvt.) Ltd","5678","socks4","4690","1","2023-10-13T14:57:23.185Z","99","4248","4292"
"102.176.160.70","elite","AS37612","GN","2nd RO","191","N/A","5678","socks4","918","1","2023-10-13T14:57:23.189Z","77","3309","4304"
"191.103.253.89","elite","AS27695","CO","Edatel S.a. E.S.P","194","Edatel S.a. E.S.P","63909","socks5","5006","2","2023-10-13T14:57:23.184Z","100","4309","4314"
"14.207.24.72","elite","AS45629","TH","Triple T Broadband Public Company Limited","290","Triple T Broadband Public Company Limited","8080","socks5","4792","1","2023-10-13T14:57:23.185Z","89","3842","4315"
"51.210.240.92","elite","AS16276","FR","OVH SAS","5","OVH","19144","socks5","5014","1","2023-10-13T14:57:23.278Z","100","4321","4329"
"103.110.184.1","elite","AS137374","ID","Dinas Komunikasi","195","N/A","6037","socks4","5093","1","2023-10-13T14:57:23.188Z","100","4392","4408"
"198.211.50.112","elite","AS35916","US","Multacom Corporation","185","Amazon.com","8080","socks5","4998","1","2023-10-13T14:57:23.185Z","100","4307","4314"
"180.183.6.44","elite","AS45629","TH","Triple T Broadband Public Company Limited","191","Triple T Broadband Public Company Limited","4153","socks4","1704","1","2023-10-13T14:57:13.092Z","97","4195","4310"
"110.78.148.125","elite","AS131090","TH","CAT-BB","293","N/A","4145","socks4","4498","1","2023-10-13T14:57:13.091Z","80","3434","4297"
"172.67.127.188","elite","AS13335","CA","Cloudflare, Inc.","2","Cloudflare, Inc.","80","socks4","4797","1","2023-10-13T14:57:13.177Z","100","4319","4320"
